formatted_address,geometry,place_id,plus_code,types,Lat/Long
"10232 NE 10th St, Bellevue, WA 98004, USA","{'location': {'lat': 47.6195335, 'lng': -122.2032468}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6208328802915, 'lng': -122.2018999197085}, 'southwest': {'lat': 47.6181349197085, 'lng': -122.2045978802915}}}",ChIJkdfNoo9skFQRi51zyxE_XbA,"{'compound_code': 'JQ9W+RP Bellevue, WA', 'global_code': '84VVJQ9W+RP'}",['street_address'],"(47.6195335,-122.2032468)"
"1036 100th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6203941, 'lng': -122.2066634}, 'southwest': {'lat': 47.6202405, 'lng': -122.2068535}}, 'location': {'lat': 47.6203027, 'lng': -122.2067686}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6216662802915, 'lng': -122.2055102197085}, 'southwest': {'lat': 47.6189683197085, 'lng': -122.2082081802915}}}",ChIJnV8N_49skFQRWlTa8BALb0Y,,['premise'],"(47.6203027,-122.2067686)"
"320 106th Ave NE, Bellevue, WA 98004, USA","{'location': {'lat': 47.613052, 'lng': -122.1984481}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61439833029149, 'lng': -122.1973113197085}, 'southwest': {'lat': 47.6117003697085, 'lng': -122.2000092802915}}}",ChIJ0bxN5IdskFQRCBHEbfvdE_8,"{'compound_code': 'JR72+6J Bellevue, WA', 'global_code': '84VVJR72+6J'}",['street_address'],"(47.613052,-122.1984481)"
"400 108th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6143793, 'lng': -122.1951943}, 'southwest': {'lat': 47.6138827, 'lng': -122.1959087}}, 'location': {'lat': 47.6141376, 'lng': -122.1955313}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6154799802915, 'lng': -122.1942662197085}, 'southwest': {'lat': 47.6127820197085, 'lng': -122.1969641802915}}}",ChIJY4vxOYhskFQRC5TC4IYT27c,,['premise'],"(47.6141376,-122.1955313)"
"201 106th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6123295, 'lng': -122.1990671}, 'southwest': {'lat': 47.6121129, 'lng': -122.199339}}, 'location': {'lat': 47.6122247, 'lng': -122.1991769}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6135701802915, 'lng': -122.1977452697085}, 'southwest': {'lat': 47.6108722197085, 'lng': -122.2004432302915}}}",ChIJX1t7i4dskFQRaNchuf7njXM,,['premise'],"(47.6122247,-122.1991769)"
"450 110th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6153784, 'lng': -122.1912538}, 'southwest': {'lat': 47.6138704, 'lng': -122.1933973}}, 'location': {'lat': 47.6142798, 'lng': -122.1919393}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61597338029149, 'lng': -122.1910671697085}, 'southwest': {'lat': 47.61327541970849, 'lng': -122.1937651302915}}}",ChIJtQwK34lskFQRZrKNYcuXCWQ,,['premise'],"(47.6142798,-122.1919393)"
"Parking lot, 555 108th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.61557579999999, 'lng': -122.1965339}, 'southwest': {'lat': 47.6153591, 'lng': -122.1968748}}, 'location': {'lat': 47.615472, 'lng': -122.196664}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61681643029149, 'lng': -122.1953481197085}, 'southwest': {'lat': 47.61411846970849, 'lng': -122.1980460802915}}}",ChIJk3Oi-IhskFQRpZEbgSc8W5A,,['premise'],"(47.615472,-122.196664)"
"10300 NE 8th St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6182565, 'lng': -122.2024772}, 'southwest': {'lat': 47.61770980000001, 'lng': -122.2029881}}, 'location': {'lat': 47.6179747, 'lng': -122.202529}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6193321302915, 'lng': -122.2011626697085}, 'southwest': {'lat': 47.6166341697085, 'lng': -122.2038606302915}}}",ChIJxzjoaI9skFQRxcHpwyGYOY8,,['premise'],"(47.6179747,-122.202529)"
"10777 Main St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6099335, 'lng': -122.1963311}, 'southwest': {'lat': 47.6097051, 'lng': -122.1967626}}, 'location': {'lat': 47.6097974, 'lng': -122.1965511}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6110927802915, 'lng': -122.1951978697085}, 'southwest': {'lat': 47.6083948197085, 'lng': -122.1978958302915}}}",ChIJXwbS43xskFQRR2xU622HFf8,,['premise'],"(47.6097974,-122.1965511)"
"930 109th Ave NE, Bellevue, WA 98004, USA","{'location': {'lat': 47.6189022, 'lng': -122.1940673}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6202519302915, 'lng': -122.1927858697085}, 'southwest': {'lat': 47.6175539697085, 'lng': -122.1954838302915}}}",ChIJX6dL9otskFQRZl-cK0T36Fs,"{'compound_code': 'JR94+H9 Bellevue, WA', 'global_code': '84VVJR94+H9'}",['street_address'],"(47.6189022,-122.1940673)"
